"";"crim";"zn";"indus";"chas";"nox";"rm";"age";"dis";"rad";"tax";"ptratio";"black";"lstat";"medv"
"6";0,000264471526768385;0;0,063049853372434;0;0,150205761316872;0,549722168997892;0,574665293511844;0,448544589838955;0,0869565217391304;0,066793893129771;0,648936170212766;0,992990065056231;0,0960264900662252;0,526666666666667
"8";0,00155367187187394;0,125;0,271627565982405;0;0,286008230452675;0,500287411381491;0,959835221421215;0,438387181842156;0,173913043478261;0,236641221374046;0,276595744680851;1;0,480684326710817;0,491111111111111
"9";0,00230325139249373;0,125;0,271627565982405;0;0,286008230452675;0,396627706457176;1;0,450354190726477;0,173913043478261;0,236641221374046;0,276595744680851;0,974103585657371;0,778145695364238;0,255555555555556
"10";0,00184017332607395;0,125;0,271627565982405;0;0,286008230452675;0,468097336654532;0,854788877445932;0,496730896889123;0,173913043478261;0,236641221374046;0,276595744680851;0,974305310403954;0,424116997792495;0,308888888888889
"18";0,00874318364821892;0;0,281524926686217;0;0,314814814814815;0,465414830427285;0,811534500514933;0,284471078212951;0,130434782608696;0,229007633587786;0,893617021276596;0,974406172777246;0,357064017660044;0,277777777777778
"26";0,00937643166428908;0;0,281524926686217;0;0,314814814814815;0,390496263652041;0,852729145211123;0,302357937236858;0,130434782608696;0,229007633587786;0,893617021276596;0,764284633617429;0,407836644591612;0,197777777777778
"29";0,00861718595102073;0;0,281524926686217;0;0,314814814814815;0,562176662195823;0,942327497425335;0,302367030708654;0,130434782608696;0,229007633587786;0,893617021276596;0,977406828382672;0,30546357615894;0,297777777777778
"33";0,0155296376706364;0;0,281524926686217;0;0,314814814814815;0,457750526920866;0,814624098867147;0,260109667269867;0,130434782608696;0,229007633587786;0,893617021276596;0,585707801704574;0,716887417218543;0,182222222222222
"36";0,000650220051999621;0;0,201612903225806;0;0,234567901234568;0,454493197930638;0,672502574665294;0,202848075366694;0,173913043478261;0,175572519083969;0,702127659574468;1;0,219370860927152;0,308888888888889
"38";0,000829719001531754;0;0,201612903225806;0;0,234567901234568;0,438589768154819;0,397528321318229;0,255035510007366;0,173913043478261;0,175572519083969;0,702127659574468;1;0,194260485651214;0,355555555555556
